번호,야영장명,사업주체_구분,도,시군구,주소,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입
1762,비치캠핑장,민간,경기도,안산시,경기도 안산시 단원구 대부남동 559-106,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2018-05-08,,물놀이장,,0,0,0,0,,,불가능
1763,비토 국민여가캠핑장,지자체,경상남도,사천시,경남 사천시 서포면 용궁로 124,26,0,14,3,0,,6,0,0,8,0,0,26,0,0,2017-09-28,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","산책로,낚시,해수욕,강/물놀이,수영장,청소년체험시설,농어촌체험시설",0,0,0,0,"액티비티,봄꽃여행,여름물놀이,걷기길",,불가능
1764,산들바다관광농원,민간,경상남도,고성군,경상남도 고성군 동해면 외산로 330,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2018-05-18,,,,0,0,0,0,,,불가능
1765,삼정야영장,국립공원,경상남도,합천군,경남 합천군 가야면 가야산로 1645-8,0,19,0,0,0,,0,0,0,0,0,0,0,0,0,2016-07-13,개별,,계곡 물놀이,14,0,0,0,"봄꽃여행,가을단풍명소,겨울눈꽃명소,걷기길",,불가능
1766,상주보 오토캠핑장,지자체,경상북도,상주시,경상북도 상주시 도남동 120-4,20,60,0,0,0,,10,4,0,10,7,0,60,20,0,2017-07-27,개별,"전기,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점",수상레저,65,2,3,6,수상레저,"텐트,릴선,화로대",불가능
1767,서운산 자연휴양림 자동차야영장,지자체,경기도,안성시,"경기도 안성시 금광면 배티로 185-39, [*미고시]",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2018-05-03,,,,0,0,0,0,,,불가능
1768,서후리캠핑장,민간,경기도,양평군,경기 양평군 서종면 서차남1길 4,0,20,0,0,0,,0,0,0,0,0,0,20,0,0,2016-07-25,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설,마트.편의점",어린이놀이시설,10,0,0,0,"낚시,봄꽃여행,여름물놀이",,가능(소형견)
1769,선양캠핑장,민간,제주특별자치도,제주시,제주특별자치도 제주시 조천읍 와흘로 350,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2017-10-22,,,,4,0,0,0,,,불가능
1770,섬바위캠핑장,민간,전라북도,진안군,전라북도 진안군 안천면 안용로 832-23 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-05-04,,"전기,온수,놀이터,운동시설",,0,0,0,0,,,불가능
1771,송하루 오토캠핑장,민간,경상북도,구미시,경북 구미시 옥성면 주아령로 192-1,0,33,0,0,0,,12,0,0,9,0,0,33,0,0,2018-03-06,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설",산책로,30,0,2,11,"여름물놀이,가을단풍명소","릴선,화로대,난방기구,침낭",가능(소형견)
1772,쇠소깍오토파크,지자체,제주특별자치도,서귀포시,제주특별자치도 서귀포시 칠십리로 638 (하효동),0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2015-12-31,,"전기,온수",,0,0,0,0,,,불가능
1773,수리덤 캠핑장,민간,경상북도,청도군,경북 청도군 운문면 신원3길 156,0,15,0,0,0,,6,0,0,8,0,0,15,0,0,2017-09-25,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","계곡 물놀이,산책로,낚시,어린이놀이시설",20,3,0,0,"여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길","릴선,화로대",불가능
1774,숲속야영장 휴림,민간,제주특별자치도,제주시,제주도 제주시 애월읍 광령남서길 40,20,0,10,4,0,,3,3,0,3,5,0,14,6,0,2017-09-05,개별,"전기,무선인터넷,장작판매,온수,놀이터,운동시설,마트.편의점",농어촌체험시설,14,0,0,0,,,불가능
1775,참나무숲 오토캠핑장,민간,경상북도,청도군,경상북도 청도군 운문면 운문로 1033-33,28,0,7,0,0,0,4,6,9,6,7,10,7,10,11,2018-05-25,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,놀이터,운동시설","계곡 물놀이,산책로",35,0,0,7,가을단풍명소,,가능
1776,숲속의 정든집 야영장,민간,강원도,횡성군,강원도 횡성군 둔내면 용현로 422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-04-11,개별,"전기,무선인터넷,장작판매,온수",계곡 물놀이,13,0,0,0,여름물놀이,,불가능
1777,숲속향기캠핑장,민간,경기도,용인시,경기도 용인시 처인구 양지면 주북리 ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2015-07-21,,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",,0,0,0,0,,,불가능
1778,스마일캠핑장,민간,경기도,양평군,경기 양평군 단월면 석산로 1539-2,0,0,0,8,0,,0,0,0,0,0,0,0,0,0,2016-09-12,개별,"전기,무선인터넷,장작판매,온수,산책로,운동장,마트.편의점","계곡 물놀이,산책로,운동장,청소년체험시설,농어촌체험시설",30,2,0,21,,화로대,불가능
1779,캠프 에이프릴,민간,강원도,영월군,강원 영월군 남면 서강로 1664-134,0,0,0,10,0,,0,0,0,0,0,0,0,0,0,2017-06-22,개별,"전기,온수,운동시설",,0,0,0,0,,,불가능
1780,아인스캠핑월드,민간,경기도,부천시,경기도 부천시 원미구 상동 ,30,0,10,0,0,,0,0,0,0,0,0,0,0,0,2015-05-14,개별,마트.편의점,,0,0,0,0,,식기,불가능
1781,양산숲오토캠핑장,민간,전라남도,신안군,전라남도 신안군 자은면 백산리 산 271-21 ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2015-06-02,,,,0,0,0,0,,,불가능
1782,어라운드폴리,민간,제주특별자치도,서귀포시,제주도 서귀포시 성산읍 서성일로 431,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2017-09-19,,,,0,0,0,0,,,불가능
1783,언덕위에하얀집,민간,충청남도,태안군,충남 태안군 남면 곰섬로 472,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2018-02-28,개별,"전기,무선인터넷,온수,물놀이장,놀이터","산책로,수상레저,낚시,해수욕",9,0,1,9,여름물놀이,,불가능
1784,에덴 오토 캠핑장,민간,경상북도,경주시,경북 경주시 감포읍 오류리 215번지,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2018-02-12,,"무선인터넷,물놀이장,놀이터,산책로",,0,0,0,0,,,불가능
1785,에덴캠프,민간,경기도,양평군,경기도 양평군 서종면 도장리 ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2015-10-13,,운동시설,,0,0,0,0,,,가능
1786,연지곤지 캠핑장,민간,경상북도,청도군,경상북도 청도군 운문면 신원리 301-12 ,12,0,0,0,0,,7,0,0,8,0,0,12,0,0,2017-08-09,개별,"전기,무선인터넷,장작판매,온수,놀이터,운동시설","계곡 물놀이,산책로,낚시,어린이놀이시설",7,0,0,0,여름물놀이,"텐트,릴선,화로대",불가능
1787,영수야 놀자,민간,경기도,연천군,경기도 연천군 장남면 장백로 330번길 236,0,25,0,0,0,0,6,5,0,7,6,0,17,8,0,2018-05-01,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","낚시,어린이놀이시설",10,0,0,0,"여름물놀이,가을단풍명소",화로대,불가능
1788,영오 캠핑장,민간,경상남도,고성군,경남 고성군 영오면 영회로 651,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2018-04-04,,,,0,0,0,0,,,불가능
1789,오아시스글램핑,민간,경상북도,경주시,경북 경주시 구정동 17-1 외 2필지,0,0,12,2,0,,0,0,0,0,0,0,0,0,0,2017-12-18,개별,"전기,무선인터넷,온수,물놀이장,놀이터,운동장,운동시설","계곡 물놀이,산책로,낚시,어린이놀이시설",14,0,0,14,여름물놀이,,가능(소형견)
1790,오크밸리카라반캠핑장,민간,강원도,원주시,강원도 원주시 지정면 판대리 577-7 ,0,0,0,19,0,,0,0,0,0,0,0,0,0,0,2015-08-21,개별,"전기,온수,물놀이장,놀이터,산책로,운동시설,마트.편의점",수영장,0,0,0,0,스키,,불가능
1791,와글와글 캠핑스토리 캠프산음,민간,경기도,양평군,경기도 양평군 단월면 석산로 837 ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2015-06-09,,"전기,무선인터넷,온수,물놀이장",,0,0,0,0,,,불가능
1792,왕송호수 캠핑장,민간,경기도,의왕시,경기도 의왕시 월암동 571번지 일원,10,0,15,10,0,0,4,0,0,4,0,0,10,0,0,2018-04-02,개별,"전기,무선인터넷,온수,물놀이장,산책로,마트.편의점","산책로,운동장,청소년체험시설",40,2,2,25,"여름물놀이,걷기길",일산화탄소감지기,불가능
1793,(주)밀모빨강치마,민간,전라북도,무주군,전라북도 무주군 적상면 밀모길 79-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-07-30,개별,"전기,무선인터넷,장작판매,온수,산책로,운동장,운동시설,마트.편의점",산책로,0,0,0,0,"일출명소,일몰명소,스키,액티비티,가을단풍명소,겨울눈꽃명소,걷기길",,불가능
1794,(주)밀모빨강치마자동차야영장,민간,전라북도,무주군,전북특별자치도 무주군 적상면 밀모길 79-14,0,50,15,11,0,0,6,0,0,6,0,0,50,0,0,2015-07-30,개별,"전기,온수,물놀이장,놀이터,마트.편의점",,5,0,0,0,겨울눈꽃명소,,불가능
1795,(주)수동자연마을 힐링별밤수목원캠핑장,민간,경기도,남양주시,경기 남양주시 수동면 비룡로 1516-17,40,40,0,0,10,0,6,4,0,8,5,0,15,15,0,2015-05-19,개별,"전기,무선인터넷,온수,마트.편의점",계곡 물놀이,8,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소",화로대,불가능
